Product_ID,Product_Position,Price,Competitors_Price,Promotion,Foot_Traffic,Consumer_Demographics,Product_Category,Seasonal,Sales_Volume,Price_Difference,Price_Ratio,Price_Range,Sales_Performance
185102,Aisle,17.07,16.16,No,Medium,Families,Clothing,No,2823,0.91,1.0563,Medium,High
188771,Aisle,17.41,13.13,No,Low,Seniors,Clothing,No,654,4.28,1.326,Medium,Low
180176,End-cap,43.16,38.37,Yes,Medium,Young adults,Electronics,Yes,2220,4.79,1.1248,High,High
112917,Aisle,42.26,38.98,Yes,Low,Families,Clothing,Yes,1568,3.28,1.0841,High,Medium
192936,End-cap,47.94,45.59,No,Medium,College students,Clothing,Yes,2942,2.35,1.0515,High,High
117590,End-cap,34.5,34.34,No,Medium,Seniors,Clothing,No,2968,0.16,1.0047,High,High
189118,Front of Store,41.11,40.15,Yes,High,College students,Clothing,Yes,952,0.96,1.0239,High,Low
182157,Aisle,15.75,12.3,No,Low,College students,Clothing,No,2421,3.45,1.2805,Medium,High
141861,Aisle,30.07,26.75,Yes,High,Families,Electronics,Yes,1916,3.32,1.1241,High,Medium
137121,Aisle,38.0,33.38,No,High,Families,Electronics,Yes,656,4.62,1.1384,High,Low
113143,Aisle,27.42,22.82,Yes,High,College students,Food,Yes,2663,4.6,1.2016,Medium,High
140028,Aisle,12.15,9.39,Yes,High,College students,Food,Yes,1260,2.76,1.2939,Low,Medium
134693,Aisle,31.45,28.93,Yes,Low,College students,Food,No,2124,2.52,1.0871,High,High
151396,Front of Store,19.81,17.04,Yes,Medium,Families,Food,Yes,729,2.77,1.1626,Medium,Low
132889,Aisle,15.74,12.8,Yes,Low,Families,Food,Yes,2265,2.94,1.2297,Medium,High
152174,End-cap,13.16,12.94,No,Medium,Young adults,Clothing,No,2226,0.22,1.017,Low,High
129906,Aisle,14.58,14.49,No,Medium,Young adults,Food,No,2089,0.09,1.0062,Low,High
195879,Front of Store,21.03,18.54,Yes,Medium,Young adults,Food,Yes,2339,2.49,1.1343,Medium,High
155050,Aisle,19.92,14.93,No,High,College students,Clothing,Yes,2321,4.99,1.3342,Medium,High
194410,End-cap,36.2,32.49,No,Low,Young adults,Electronics,No,669,3.71,1.1142,High,Low
141904,End-cap,27.36,23.03,Yes,Medium,College students,Food,Yes,1712,4.33,1.188,Medium,Medium
124981,Front of Store,42.74,40.29,No,Low,Families,Clothing,Yes,1832,2.45,1.0608,High,Medium
161909,Aisle,22.16,20.85,Yes,Medium,Young adults,Electronics,No,1290,1.31,1.0628,Medium,Medium
129152,End-cap,48.51,47.56,No,Low,Seniors,Electronics,No,2356,0.95,1.02,High,High
183243,Front of Store,39.32,37.12,Yes,Low,Families,Food,No,1524,2.2,1.0593,High,Medium
198248,Front of Store,27.81,23.4,Yes,High,Seniors,Clothing,No,1644,4.41,1.1885,Medium,Medium
191230,End-cap,49.95,45.65,No,High,Young adults,Clothing,No,966,4.3,1.0942,High,Low
187234,Front of Store,39.27,35.55,Yes,Low,College students,Clothing,Yes,2575,3.72,1.1046,High,High
148888,Front of Store,16.92,14.44,No,Low,Families,Clothing,No,2774,2.48,1.1717,Medium,High
110805,Front of Store,35.91,34.74,Yes,Medium,Young adults,Food,No,2477,1.17,1.0337,High,High
179801,Front of Store,46.81,43.04,No,Low,College students,Electronics,Yes,2608,3.77,1.0876,High,High
134927,Aisle,6.1,5.37,Yes,High,Families,Electronics,Yes,2252,0.73,1.1359,Low,High
123150,End-cap,37.03,34.9,Yes,Medium,Seniors,Electronics,No,2074,2.13,1.061,High,High
159145,End-cap,19.01,18.27,Yes,High,Seniors,Electronics,No,2579,0.74,1.0405,Medium,High
172364,Aisle,12.3,10.3,Yes,High,College students,Clothing,No,2931,2.0,1.1942,Low,High
178281,End-cap,11.64,7.89,No,Low,College students,Electronics,Yes,1145,3.75,1.4753,Low,Medium
194339,End-cap,18.2,16.18,No,Low,Seniors,Clothing,No,1792,2.02,1.1248,Medium,Medium
174412,Aisle,23.93,19.71,No,Low,Young adults,Electronics,Yes,1796,4.22,1.2141,Medium,Medium
114877,Aisle,21.76,21.09,No,Medium,College students,Clothing,No,1860,0.67,1.0318,Medium,Medium
140727,End-cap,15.89,12.07,Yes,High,Families,Clothing,Yes,1002,3.82,1.3165,Medium,Medium
133109,Front of Store,36.13,31.33,No,High,Families,Clothing,Yes,2063,4.8,1.1532,High,High
127296,Aisle,34.02,32.31,No,Low,Families,Food,No,1165,1.71,1.0529,High,Medium
133757,Aisle,7.38,3.97,Yes,High,Families,Electronics,No,2071,3.41,1.8589,Low,High
111760,End-cap,19.3,17.41,No,Low,College students,Clothing,No,1474,1.89,1.1086,Medium,Medium
198375,End-cap,7.1,6.84,No,Low,Seniors,Clothing,No,2202,0.26,1.038,Low,High
168837,Aisle,43.43,38.54,No,Low,Families,Electronics,No,665,4.89,1.1269,High,Low
138505,Front of Store,46.72,42.48,No,Low,Seniors,Food,No,2478,4.24,1.0998,High,High
116228,End-cap,36.32,32.95,Yes,Medium,Families,Clothing,No,647,3.37,1.1023,High,Low
167592,Front of Store,17.76,16.84,Yes,Medium,Seniors,Food,No,707,0.92,1.0546,Medium,Low
133100,End-cap,47.78,43.18,Yes,Medium,Families,Clothing,No,2729,4.6,1.1065,High,High
119955,Front of Store,34.12,32.94,No,High,Young adults,Electronics,No,1590,1.18,1.0358,High,Medium
189349,End-cap,45.91,42.91,Yes,Medium,Seniors,Electronics,No,1245,3.0,1.0699,High,Medium
127478,Front of Store,29.3,26.06,No,Low,Young adults,Clothing,Yes,2498,3.24,1.1243,Medium,High
180661,Front of Store,39.96,36.05,No,High,Young adults,Food,Yes,1041,3.91,1.1085,High,Medium
186681,End-cap,39.46,35.1,No,Low,Young adults,Food,Yes,1717,4.36,1.1242,High,Medium
133183,Front of Store,45.07,44.26,Yes,Low,Families,Electronics,Yes,2859,0.81,1.0183,High,High
173508,Aisle,13.67,13.18,Yes,High,Families,Food,No,1658,0.49,1.0372,Low,Medium
187930,End-cap,19.95,19.19,No,Medium,College students,Electronics,Yes,706,0.76,1.0396,Medium,Low
124088,End-cap,48.71,46.44,Yes,High,Young adults,Electronics,Yes,2065,2.27,1.0489,High,High
190238,Front of Store,34.67,32.6,No,High,Seniors,Clothing,Yes,1917,2.07,1.0635,High,Medium
151925,End-cap,47.63,42.99,Yes,Medium,Seniors,Food,Yes,2179,4.64,1.1079,High,High
163234,Front of Store,12.03,7.97,No,Medium,Young adults,Clothing,No,1633,4.06,1.5094,Low,Medium
135610,Aisle,36.04,35.59,Yes,High,College students,Electronics,Yes,1513,0.45,1.0126,High,Medium
117065,Aisle,47.39,47.31,Yes,High,Seniors,Electronics,Yes,758,0.08,1.0017,High,Low
149315,End-cap,24.71,24.08,Yes,Low,Families,Electronics,No,718,0.63,1.0262,Medium,Low
149510,Aisle,36.18,34.02,No,High,Young adults,Clothing,Yes,1412,2.16,1.0635,High,Medium
137990,Aisle,12.01,10.23,No,High,Seniors,Clothing,No,2929,1.78,1.174,Low,High
154016,End-cap,46.04,42.05,Yes,High,Seniors,Food,Yes,2366,3.99,1.0949,High,High
117751,Aisle,10.0,5.63,No,Medium,Seniors,Electronics,No,2749,4.37,1.7762,Low,High
182362,Front of Store,14.1,13.51,No,Low,Families,Electronics,No,2019,0.59,1.0437,Low,High
117725,Aisle,40.15,35.86,No,Low,Seniors,Food,Yes,1506,4.29,1.1196,High,Medium
145289,End-cap,30.65,30.08,No,High,Families,Clothing,No,1012,0.57,1.0189,High,Medium
173576,End-cap,46.74,46.32,Yes,Medium,College students,Electronics,No,1838,0.42,1.0091,High,Medium
175059,Aisle,19.16,18.62,Yes,High,Seniors,Food,No,2170,0.54,1.029,Medium,High
199368,Front of Store,31.93,27.22,No,Low,Families,Clothing,Yes,1061,4.71,1.173,High,Medium
162883,Front of Store,18.3,14.19,Yes,Low,Seniors,Food,No,786,4.11,1.2896,Medium,Low
135490,Front of Store,18.72,17.29,No,Medium,Families,Clothing,No,1094,1.43,1.0827,Medium,Medium
125408,End-cap,21.79,18.92,Yes,High,College students,Clothing,Yes,2220,2.87,1.1517,Medium,High
134763,Front of Store,18.75,17.42,No,Low,College students,Clothing,Yes,2048,1.33,1.0763,Medium,High
143231,Aisle,44.2,42.72,No,Low,Families,Food,No,2578,1.48,1.0346,High,High
125409,End-cap,42.55,40.35,Yes,High,College students,Clothing,No,2040,2.2,1.0545,High,High
183074,Aisle,34.15,30.46,No,Low,College students,Clothing,No,2791,3.69,1.1211,High,High
147947,Aisle,19.24,15.64,Yes,High,Young adults,Clothing,Yes,1249,3.6,1.2302,Medium,Medium
174171,Front of Store,8.01,5.34,Yes,Medium,Seniors,Food,Yes,2273,2.67,1.5,Low,High
183064,Front of Store,19.25,17.13,Yes,Low,Young adults,Electronics,No,1773,2.12,1.1238,Medium,Medium
177131,Aisle,47.16,43.78,Yes,High,Families,Food,Yes,1733,3.38,1.0772,High,Medium
128179,End-cap,38.75,35.22,Yes,High,Seniors,Electronics,No,2060,3.53,1.1002,High,High
152723,Aisle,44.16,42.34,No,High,Seniors,Food,Yes,2849,1.82,1.043,High,High
123824,Aisle,32.35,28.97,Yes,Low,Families,Electronics,No,2277,3.38,1.1167,High,High
166345,Aisle,40.77,39.73,No,Low,Seniors,Electronics,Yes,1135,1.04,1.0262,High,Medium
199279,Aisle,18.36,15.23,No,Low,Seniors,Electronics,No,1770,3.13,1.2055,Medium,Medium
167981,End-cap,37.4,37.29,No,High,College students,Clothing,No,730,0.11,1.0029,High,Low
146839,Aisle,10.04,7.54,No,Medium,College students,Food,No,1525,2.5,1.3316,Low,Medium
187180,Front of Store,47.5,46.74,No,High,Families,Electronics,Yes,647,0.76,1.0163,High,Low
167640,End-cap,46.56,43.71,Yes,High,Families,Electronics,Yes,1017,2.85,1.0652,High,Medium
165158,Front of Store,40.44,37.89,No,Low,College students,Food,No,1622,2.55,1.0673,High,Medium
111521,Front of Store,31.98,27.82,Yes,High,Seniors,Food,Yes,2553,4.16,1.1495,High,High
120228,End-cap,15.92,13.41,No,High,Seniors,Food,No,2347,2.51,1.1872,Medium,High
133078,Aisle,48.34,45.21,No,Low,Families,Clothing,Yes,2535,3.13,1.0692,High,High
137598,Aisle,38.21,37.69,No,Medium,Families,Electronics,Yes,2839,0.52,1.0138,High,High
138779,Front of Store,44.97,42.24,Yes,Low,Families,Clothing,Yes,2801,2.73,1.0646,High,High
198329,Front of Store,19.55,15.77,Yes,Low,Young adults,Electronics,Yes,628,3.78,1.2397,Medium,Low
110295,End-cap,13.1,8.47,Yes,Low,Young adults,Electronics,No,1448,4.63,1.5466,Low,Medium
196427,Aisle,36.73,31.98,Yes,Low,Families,Electronics,No,1401,4.75,1.1485,High,Medium
110075,Front of Store,42.96,41.45,Yes,Medium,College students,Electronics,Yes,2185,1.51,1.0364,High,High
132322,Front of Store,37.74,34.99,Yes,Low,Families,Clothing,No,2135,2.75,1.0786,High,High
199631,Front of Store,14.8,14.51,Yes,Medium,Families,Electronics,No,1269,0.29,1.02,Low,Medium
182306,Front of Store,5.93,5.84,No,Medium,Seniors,Food,No,2805,0.09,1.0154,Low,High
194915,Aisle,23.91,21.1,Yes,Low,Seniors,Food,No,1796,2.81,1.1332,Medium,Medium
131298,End-cap,41.46,37.69,Yes,Medium,College students,Electronics,No,2133,3.77,1.1,High,High
168571,Aisle,10.78,6.39,No,High,Seniors,Electronics,No,1778,4.39,1.687,Low,Medium
154224,End-cap,22.69,21.79,Yes,Medium,Families,Food,No,2474,0.9,1.0413,Medium,High
171061,Aisle,23.25,22.71,No,Low,College students,Electronics,Yes,2032,0.54,1.0238,Medium,High
119049,Aisle,16.24,11.33,No,Low,Seniors,Clothing,Yes,1659,4.91,1.4334,Medium,Medium
158781,End-cap,19.91,16.77,Yes,Medium,Young adults,Clothing,Yes,2443,3.14,1.1872,Medium,High
151438,Aisle,5.41,2.73,No,Medium,Seniors,Food,Yes,1137,2.68,1.9817,Low,Medium
152871,End-cap,13.39,12.76,No,High,Families,Clothing,Yes,1847,0.63,1.0494,Low,Medium
126806,End-cap,40.27,37.16,Yes,High,Young adults,Clothing,Yes,2404,3.11,1.0837,High,High
134104,End-cap,23.84,21.61,No,Medium,College students,Electronics,Yes,1466,2.23,1.1032,Medium,Medium
120266,Front of Store,20.04,16.05,No,High,Families,Electronics,No,2328,3.99,1.2486,Medium,High
173550,End-cap,33.0,29.46,No,Medium,Families,Electronics,Yes,1431,3.54,1.1202,High,Medium
175927,End-cap,22.25,21.68,No,Medium,Young adults,Clothing,Yes,1506,0.57,1.0263,Medium,Medium
154278,End-cap,17.07,16.29,No,Medium,Seniors,Clothing,Yes,2749,0.78,1.0479,Medium,High
183537,Front of Store,40.64,36.61,Yes,Low,College students,Electronics,Yes,2434,4.03,1.1101,High,High
150424,Front of Store,25.47,25.19,No,Medium,Young adults,Food,Yes,2067,0.28,1.0111,Medium,High
183825,Aisle,42.7,40.51,Yes,Low,Families,Clothing,Yes,2989,2.19,1.0541,High,High
144012,Front of Store,33.28,31.57,Yes,Low,Families,Electronics,No,743,1.71,1.0542,High,Low
147051,Front of Store,31.59,28.91,No,Low,Young adults,Electronics,No,2325,2.68,1.0927,High,High
185800,End-cap,24.2,21.33,No,Medium,College students,Electronics,Yes,1841,2.87,1.1346,Medium,Medium
197524,Aisle,31.52,28.79,Yes,Low,Seniors,Clothing,Yes,2231,2.73,1.0948,High,High
148823,Aisle,12.31,8.65,No,Low,Seniors,Clothing,Yes,2211,3.66,1.4231,Low,High
114550,End-cap,28.13,25.72,No,Low,Young adults,Clothing,No,2114,2.41,1.0937,Medium,High
125398,Aisle,48.12,43.56,Yes,High,College students,Electronics,Yes,1350,4.56,1.1047,High,Medium
123985,End-cap,9.52,6.43,No,High,Seniors,Electronics,No,2240,3.09,1.4806,Low,High
186638,End-cap,18.78,17.11,Yes,High,College students,Electronics,No,1296,1.67,1.0976,Medium,Medium
167281,End-cap,19.49,16.8,Yes,High,Families,Electronics,Yes,892,2.69,1.1601,Medium,Low
118578,End-cap,9.07,6.59,No,High,Seniors,Clothing,Yes,1678,2.48,1.3763,Low,Medium
174041,End-cap,5.06,4.51,No,Medium,Seniors,Electronics,No,2016,0.55,1.122,Low,High
127644,Front of Store,36.48,36.14,No,Low,Young adults,Clothing,Yes,1498,0.34,1.0094,High,Medium
132007,Aisle,38.63,35.08,No,Low,Families,Clothing,Yes,2491,3.55,1.1012,High,High
147998,Aisle,36.43,34.91,No,Low,Young adults,Clothing,No,2556,1.52,1.0435,High,High
176666,Aisle,43.93,41.71,Yes,Low,Families,Food,No,2852,2.22,1.0532,High,High
193686,Aisle,25.07,21.6,Yes,Medium,College students,Food,No,1899,3.47,1.1606,Medium,Medium
163610,Front of Store,39.37,36.12,Yes,High,Families,Food,No,2466,3.25,1.09,High,High
170364,Aisle,7.88,6.55,No,Medium,College students,Food,No,818,1.33,1.2031,Low,Low
167599,Aisle,13.94,11.06,No,Medium,Young adults,Clothing,No,1500,2.88,1.2604,Low,Medium
166421,End-cap,44.85,39.96,Yes,High,Young adults,Clothing,No,2878,4.89,1.1224,High,High
129247,Front of Store,47.79,45.05,Yes,Low,College students,Electronics,No,2386,2.74,1.0608,High,High
127314,End-cap,13.34,11.51,Yes,Medium,Families,Food,Yes,2076,1.83,1.159,Low,High
111979,Front of Store,21.28,19.52,No,Medium,Families,Food,No,2734,1.76,1.0902,Medium,High
120354,Aisle,37.15,35.98,Yes,High,Seniors,Food,No,2836,1.17,1.0325,High,High
144848,Front of Store,18.58,16.19,No,Medium,College students,Clothing,No,2193,2.39,1.1476,Medium,High
111957,Aisle,37.86,33.73,Yes,High,Seniors,Food,No,2164,4.13,1.1224,High,High
160763,Front of Store,20.34,17.62,Yes,High,College students,Electronics,Yes,991,2.72,1.1544,Medium,Low
168270,End-cap,37.62,37.33,Yes,Medium,Young adults,Clothing,Yes,1525,0.29,1.0078,High,Medium
195082,Front of Store,16.74,14.22,No,Low,Families,Electronics,No,923,2.52,1.1772,Medium,Low
110329,Front of Store,44.11,43.31,No,Low,College students,Clothing,Yes,2397,0.8,1.0185,High,High
147449,End-cap,12.89,10.18,No,Low,Families,Electronics,No,1191,2.71,1.2662,Low,Medium
193332,Aisle,37.73,36.7,Yes,Low,College students,Electronics,No,1237,1.03,1.0281,High,Medium
146804,Aisle,14.38,11.45,Yes,Medium,Families,Food,No,1504,2.93,1.2559,Low,Medium
188909,Aisle,16.99,16.98,Yes,Medium,Seniors,Food,Yes,2863,0.01,1.0006,Medium,High
165910,End-cap,39.26,37.8,Yes,High,College students,Clothing,No,2760,1.46,1.0386,High,High
136738,Front of Store,36.52,31.9,No,Low,Seniors,Electronics,Yes,542,4.62,1.1448,High,Low
144497,End-cap,31.39,28.18,Yes,Low,Young adults,Food,Yes,1105,3.21,1.1139,High,Medium
135036,End-cap,46.1,42.07,Yes,Low,College students,Clothing,No,1435,4.03,1.0958,High,Medium
166331,Aisle,19.28,17.22,Yes,Low,Families,Electronics,Yes,2877,2.06,1.1196,Medium,High
139789,Aisle,6.22,3.38,No,High,Families,Food,Yes,1094,2.84,1.8402,Low,Medium
118569,Aisle,40.06,39.41,No,Medium,Young adults,Clothing,Yes,994,0.65,1.0165,High,Low
155848,End-cap,46.91,46.85,Yes,Medium,Seniors,Electronics,No,1942,0.06,1.0013,High,Medium
152563,Front of Store,42.42,40.6,No,Low,College students,Electronics,Yes,2572,1.82,1.0448,High,High
115153,Aisle,30.55,26.84,No,Medium,Families,Electronics,No,1736,3.71,1.1382,High,Medium
125938,Aisle,39.07,37.81,Yes,High,Young adults,Clothing,Yes,1204,1.26,1.0333,High,Medium
122809,End-cap,47.47,43.47,No,High,Young adults,Clothing,Yes,1592,4.0,1.092,High,Medium
181502,Front of Store,10.83,8.48,Yes,High,Young adults,Electronics,No,2591,2.35,1.2771,Low,High
182779,End-cap,7.27,4.93,Yes,Low,Young adults,Food,Yes,2097,2.34,1.4746,Low,High
155674,Front of Store,16.91,14.52,No,Low,Families,Clothing,No,897,2.39,1.1646,Medium,Low
182866,Aisle,41.95,40.42,No,High,Seniors,Clothing,Yes,1552,1.53,1.0379,High,Medium
148230,Front of Store,49.98,45.42,Yes,Medium,Young adults,Clothing,No,2494,4.56,1.1004,High,High
126979,Front of Store,30.53,30.01,No,High,Seniors,Clothing,No,2141,0.52,1.0173,High,High
135521,End-cap,5.38,1.63,No,Medium,Young adults,Electronics,Yes,2835,3.75,3.3006,Low,High
185809,End-cap,47.3,46.34,No,High,Families,Electronics,No,622,0.96,1.0207,High,Low
171520,End-cap,30.02,28.02,Yes,Low,Families,Electronics,Yes,2901,2.0,1.0714,High,High
122926,End-cap,31.05,27.1,No,Low,Young adults,Food,No,867,3.95,1.1458,High,Low
150953,Front of Store,48.14,47.6,Yes,Low,Young adults,Food,Yes,2434,0.54,1.0113,High,High
115873,End-cap,43.99,39.08,Yes,High,Seniors,Electronics,Yes,2606,4.91,1.1256,High,High
115581,Aisle,48.63,46.11,No,Medium,College students,Clothing,Yes,2728,2.52,1.0547,High,High
183634,Front of Store,25.95,21.98,Yes,Medium,Seniors,Clothing,Yes,2778,3.97,1.1806,Medium,High
122484,Aisle,21.73,16.98,Yes,High,College students,Food,Yes,558,4.75,1.2797,Medium,Low
183574,Aisle,19.0,14.94,Yes,High,College students,Electronics,Yes,1752,4.06,1.2718,Medium,Medium
185307,Front of Store,41.4,39.95,No,High,Families,Clothing,Yes,2743,1.45,1.0363,High,High
118719,End-cap,31.62,27.6,No,Medium,College students,Food,Yes,1669,4.02,1.1457,High,Medium
134788,Front of Store,36.11,34.17,No,High,College students,Food,No,2179,1.94,1.0568,High,High
140142,Front of Store,14.5,13.62,Yes,Medium,Young adults,Food,No,606,0.88,1.0646,Low,Low
153997,End-cap,15.27,14.61,No,High,College students,Electronics,Yes,1608,0.66,1.0452,Medium,Medium
123230,Aisle,16.59,13.03,No,Medium,Young adults,Clothing,Yes,880,3.56,1.2732,Medium,Low
154676,Aisle,26.04,23.26,No,Low,College students,Electronics,No,943,2.78,1.1195,Medium,Low
152985,Aisle,6.25,2.86,Yes,Medium,Seniors,Clothing,Yes,1049,3.39,2.1853,Low,Medium
175584,Front of Store,10.57,8.54,No,Low,Young adults,Clothing,No,2084,2.03,1.2377,Low,High
147491,End-cap,20.09,19.82,No,Medium,College students,Clothing,No,1563,0.27,1.0136,Medium,Medium
198283,End-cap,25.15,20.84,Yes,Medium,Seniors,Food,Yes,1558,4.31,1.2068,Medium,Medium
141547,End-cap,23.27,19.05,No,High,Families,Food,No,1426,4.22,1.2215,Medium,Medium
156342,Front of Store,38.94,37.62,Yes,High,Seniors,Food,Yes,1466,1.32,1.0351,High,Medium
186083,End-cap,28.87,28.36,No,Low,Seniors,Food,Yes,624,0.51,1.018,Medium,Low
171776,Aisle,34.06,31.39,Yes,Medium,College students,Food,No,1685,2.67,1.0851,High,Medium
134429,Aisle,40.01,37.93,No,High,Seniors,Food,No,2914,2.08,1.0548,High,High
172816,Aisle,14.36,12.26,No,Medium,Seniors,Food,Yes,1524,2.1,1.1713,Low,Medium
136272,End-cap,28.47,25.9,No,Low,Young adults,Clothing,Yes,2887,2.57,1.0992,Medium,High
193227,End-cap,40.47,39.26,Yes,Low,Seniors,Electronics,Yes,1778,1.21,1.0308,High,Medium
165786,End-cap,18.03,13.4,No,High,Families,Electronics,Yes,1278,4.63,1.3455,Medium,Medium
174708,Front of Store,21.75,17.58,No,High,College students,Food,Yes,529,4.17,1.2372,Medium,Low
142257,Aisle,21.7,18.91,Yes,Medium,Seniors,Clothing,Yes,1180,2.79,1.1475,Medium,Medium
126146,Aisle,34.72,32.73,No,High,Seniors,Electronics,No,2759,1.99,1.0608,High,High
129134,Aisle,23.29,22.91,No,Medium,College students,Food,Yes,1831,0.38,1.0166,Medium,Medium
129898,End-cap,10.33,6.98,No,Low,Seniors,Electronics,No,1866,3.35,1.4799,Low,Medium
189692,End-cap,14.58,12.26,Yes,Low,College students,Food,No,1553,2.32,1.1892,Low,Medium
154846,End-cap,35.78,35.35,Yes,Low,Families,Electronics,No,917,0.43,1.0122,High,Low
122307,End-cap,32.92,31.62,No,Low,Seniors,Clothing,No,702,1.3,1.0411,High,Low
182099,Aisle,35.29,31.65,Yes,Low,Families,Food,No,1978,3.64,1.115,High,Medium
159816,Front of Store,34.76,31.95,No,Medium,College students,Electronics,Yes,1961,2.81,1.0879,High,Medium
165326,Aisle,8.86,3.91,No,Medium,Young adults,Clothing,No,1188,4.95,2.266,Low,Medium
185154,Aisle,24.95,20.84,Yes,High,Young adults,Food,No,996,4.11,1.1972,Medium,Low
141330,Aisle,46.1,45.49,No,High,Seniors,Clothing,Yes,1915,0.61,1.0134,High,Medium
158958,End-cap,5.62,2.52,No,High,Young adults,Clothing,No,903,3.1,2.2302,Low,Low
155010,Aisle,45.12,42.21,Yes,Medium,Families,Electronics,Yes,729,2.91,1.0689,High,Low
135857,Aisle,36.02,34.82,No,Medium,Young adults,Electronics,Yes,2045,1.2,1.0345,High,High
147690,Aisle,20.14,16.6,Yes,High,Families,Food,No,881,3.54,1.2133,Medium,Low
130321,End-cap,24.71,23.07,Yes,Low,College students,Clothing,No,2093,1.64,1.0711,Medium,High
196752,End-cap,17.3,15.83,No,Medium,College students,Clothing,No,2227,1.47,1.0929,Medium,High
181011,Aisle,8.9,4.06,Yes,High,Seniors,Food,Yes,994,4.84,2.1921,Low,Low
139967,End-cap,28.7,24.82,No,High,College students,Electronics,No,2634,3.88,1.1563,Medium,High
162699,End-cap,49.58,47.36,No,High,Young adults,Electronics,Yes,2732,2.22,1.0469,High,High
119044,Aisle,36.67,32.79,No,High,College students,Food,Yes,1140,3.88,1.1183,High,Medium
121348,End-cap,32.06,29.0,No,High,Seniors,Electronics,Yes,1008,3.06,1.1055,High,Medium
163982,Front of Store,17.2,12.21,No,Medium,Families,Clothing,No,2685,4.99,1.4087,Medium,High
185774,End-cap,7.33,2.63,Yes,High,College students,Clothing,Yes,1145,4.7,2.7871,Low,Medium
144651,Aisle,31.45,31.4,Yes,High,Families,Clothing,No,1791,0.05,1.0016,High,Medium
195103,Aisle,41.79,41.5,Yes,High,Families,Food,No,2849,0.29,1.007,High,High
123047,Aisle,9.88,6.03,No,Low,Seniors,Food,Yes,2985,3.85,1.6385,Low,High
123077,Front of Store,16.27,13.48,No,Medium,Young adults,Electronics,No,1603,2.79,1.207,Medium,Medium
171860,Aisle,43.18,39.47,Yes,High,Young adults,Electronics,No,707,3.71,1.094,High,Low
149487,Aisle,25.54,20.91,No,High,Families,Clothing,Yes,1258,4.63,1.2214,Medium,Medium
168516,Front of Store,17.09,14.13,Yes,Medium,College students,Clothing,No,2168,2.96,1.2095,Medium,High
177771,End-cap,37.72,36.32,Yes,Low,Young adults,Electronics,Yes,1764,1.4,1.0385,High,Medium
172015,End-cap,33.93,30.5,Yes,Medium,College students,Electronics,Yes,2622,3.43,1.1125,High,High
118985,Aisle,49.12,48.16,No,Medium,Young adults,Clothing,Yes,694,0.96,1.0199,High,Low
112194,Aisle,14.02,10.78,Yes,High,Young adults,Food,Yes,2187,3.24,1.3006,Low,High
